,champion,role,kill,death,assist,pentapermatch
0,Smolder,AD Carry,7.7,6.1,7.1,0.0106
1,Kai'Sa,AD Carry,8.5,6.3,6.7,0.0026
2,Karma,"Mid, Support",4.2,5.9,10.9,0.0002
3,Lee Sin,Jungler,7.5,6.1,8.7,0.0007
4,Ezreal,AD Carry,7.3,6.1,7.2,0.0013
5,Volibear,"Jungler, Top",5.7,5.7,8.0,0.0003
6,Senna,"Support, AD Carry",5.5,6.3,12.1,0.0009
7,Ahri,Mid,6.6,5.4,7.8,0.0015
8,Lux,"Support, Mid",5.2,6.3,11.0,0.0001
9,Yasuo,Mid,6.6,7.3,5.5,0.0012
10,Jinx,AD Carry,7.4,6.2,7.3,0.0064
11,Yone,"Mid, Top",6.3,7.0,5.2,0.0011
12,Caitlyn,AD Carry,6.9,6.4,6.9,0.0014
13,Ashe,"AD Carry, Support",5.8,6.8,9.9,0.0009
14,Aatrox,Top,6.1,6.2,5.4,0.0023
15,Hwei,"Mid, Support",5.7,6.2,9.1,0.0005
16,Thresh,Support,2.1,6.7,15.1,0.0
17,Jhin,AD Carry,8.1,5.8,8.2,0.0024
18,Kayn,Jungler,8.2,7.0,7.3,0.0017
19,Viego,Jungler,7.7,6.2,7.0,0.0024
20,Gragas,"Top, Jungler",6.1,5.5,7.6,0.0005
21,Lucian,AD Carry,8.2,6.5,6.7,0.0017
22,Darius,Top,7.1,6.3,4.4,0.0042
23,Nautilus,Support,2.1,6.7,13.9,0.0
24,Shaco,"Jungler, Support",7.9,6.5,8.8,0.0004
25,Vayne,"AD Carry, Top",7.5,6.7,5.4,0.0065
26,Jax,"Top, Jungler",6.3,6.5,5.5,0.001
27,Miss Fortune,AD Carry,8.3,6.6,7.4,0.0045
28,Brand,"Support, Jungler",5.7,7.2,9.7,0.0002
29,Akali,"Mid, Top",8.7,6.1,4.9,0.0012
30,Sylas,Mid,8.2,7.2,6.7,0.0014
31,Zed,Mid,8.9,6.5,5.7,0.0009
32,Janna,Support,2.2,5.5,15.4,0.0
33,Lulu,Support,1.6,5.4,15.1,0.0
