,name,year,imdb,metascore,votes
0,Batman Begins,2005,8.2,70,1.6M
1,V for Vendetta,2005,8.2,62,1.2M
2,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,842K
3,Sin City,2005,8.0,74,792K
4,Harry Potter and the Goblet of Fire,2005,7.7,81,678K
5,Mr. & Mrs. Smith,2005,6.5,55,539K
6,Charlie and the Chocolate Factory,2005,6.7,72,527K
7,War of the Worlds,2005,6.5,73,474K
8,The 40 Year Old Virgin,2005,7.1,73,465K
9,King Kong,2005,7.2,81,445K
10,Madagascar,2005,6.9,57,436K
11,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75,427K
12,Brokeback Mountain,2005,7.7,87,381K
13,Wedding Crashers,2005,7.0,64,375K
14,Constantine,2005,7.0,50,373K
15,Fantastic Four,2005,5.7,40,343K
16,Lord of War,2005,7.6,62,336K
17,Hitch,2005,6.6,58,334K
18,Pride & Prejudice,2005,7.8,82,329K
19,The Island,2005,6.8,50,327K
20,Kingdom of Heaven,2005,7.3,63,313K
21,Serenity,2005,7.8,74,305K
22,Corpse Bride,2005,7.4,83,298K
23,Saw II,2005,6.6,40,275K
24,Walk the Line,2005,7.8,72,265K
25,A History of Violence,2005,7.4,82,252K
26,The Descent,2005,7.2,71,246K
27,Munich,2005,7.5,74,238K
28,Kiss Kiss Bang Bang,2005,7.5,73,237K
29,Thank You for Smoking,2005,7.5,71,229K
30,Match Point,2005,7.6,72,228K
31,Transporter 2,2005,6.3,56,215K
32,The Hitchhiker's Guide to the Galaxy,2005,6.7,63,208K
33,Jarhead,2005,7.0,58,206K
34,Cinderella Man,2005,8.0,69,198K
35,The Longest Yard,2005,6.4,48,194K
36,Hostel,2005,5.9,55,190K
37,Flightplan,2005,6.3,53,171K
38,Coach Carter,2005,7.3,57,171K
39,The Prestige,2006,8.5,66,1.4M
40,The Departed,2006,8.5,85,1.4M
41,300,2006,7.6,52,862K
42,Pirates of the Caribbean: Dead Man's Chest,2006,7.4,53,764K
43,El Laberinto Del Fauno,2006,8.2,98,701K
44,Casino Royale,2006,8.0,80,692K
45,Blood Diamond,2006,8.0,64,584K
